"method","bias","mae","rmse","spearman","accuracy","rules"
1,0.0435545553489441,0.105661828043944,0.129152653289164,0.549487176138622,0.535555555555556,0
2,0.000802478368954181,0.0934474411622841,0.119222536488418,0.389357795601439,0.495555555555556,0
3,0.00321441110973793,0.096306462475906,0.123993812450436,0.51279846020822,0.257777777777778,15
4,0.00194690300796951,0.0969364402562102,0.125702093586566,0.508591798407336,0.257777777777778,14
1,-0.0297067109993603,0.0871220887515078,0.1094902269943,0.607599652083309,0.7,0
2,-0.0251423535578985,0.0904068570570704,0.126038773276891,0.330658387255188,0.664444444444444,0
3,-0.020906923708686,0.0880476449974689,0.129093336396976,0,0.74,0
4,-0.020906923708686,0.0880476449974689,0.129093336396976,0,0.74,0
1,-0.0250896949411516,0.0845213453446814,0.106951424836566,0.683631067073465,0.733333333333333,0
2,-0.0188065902164472,0.0927380357919967,0.124389300430484,0.293817951220097,0.502222222222222,0
3,-0.0184446759621432,0.0930498815561036,0.127605555152685,0.288050618955277,0.291111111111111,15
4,-0.0183850178489314,0.0933329229736142,0.127860022174218,0.26245860961863,0.291111111111111,12
1,0.00612416900759965,0.0827727406885157,0.103367325828986,0.680672317902548,0.635555555555556,0
2,-0.0306484975384943,0.0862904369271593,0.116191925408542,0.627709316087284,0.82,0
3,-0.0173864844177035,0.0853874927584592,0.123676576229902,0,0.733333333333333,0
4,-0.0173864844177035,0.0853874927584592,0.123676576229902,0,0.733333333333333,0
1,0.00858871656706396,0.0787589682695398,0.0983093305868988,0.622269443800371,0.626666666666667,0
2,-0.0192680465878328,0.0841223497036415,0.116590396649456,0.211487239209004,0.646666666666667,0
3,-0.0193923760459448,0.0835092154402429,0.118717102526689,0.269083984187402,0.764444444444444,14
4,-0.0188856493864023,0.0833907615593358,0.118953083744999,0.158844426114523,0.764444444444444,14
1,0.00702124977413161,0.0846700807668034,0.10390084529053,0.597992676318297,0.617777777777778,0
2,-0.0147756156247939,0.0764080028416827,0.104685056016722,0.760853801142908,0.78,0
3,-0.0115440253522436,0.0826823886555993,0.122052703054458,0,0.766666666666667,0
4,-0.0115440253522436,0.0826823886555993,0.122052703054458,0,0.766666666666667,0
1,0.00371820012791921,0.0825262411198217,0.103042756182346,0.710614550099212,0.628888888888889,0
2,-0.0100091601875068,0.0809868105263863,0.101771208518681,0.719662105319313,0.742222222222222,0
3,-0.00421498793569049,0.0850870586625853,0.114237485374273,0.675920509211345,0.708888888888889,14
4,-0.00990659605913562,0.0859121968643933,0.121892436264295,0.565865442247475,0.371111111111111,13
1,0.0206762833972462,0.104874288275293,0.129058533974394,0.464072653411257,0.555555555555556,0
2,-0.00413840380958611,0.0989694290096734,0.130638494909563,0.225181445892167,0.402222222222222,0
3,-0.0190325756519988,0.0924235019407537,0.134293503448091,0,0.744444444444444,0
4,-0.0190325756519988,0.0924235019407537,0.134293503448091,0,0.744444444444444,0
1,-0.000610543933266758,0.0851553253857877,0.10822947734793,0.649982335186604,0.611111111111111,0
2,-0.0308484627755435,0.0852237208233795,0.119797322066384,0.413696483950431,0.691111111111111,0
